file,page_num,column,category,action
all_pages_20260721_1901_geocoded.csv,359,Profession,known_ad_deferred,deferred
all_pages_20260721_1901_geocoded.csv,359,Profession,known_ad_deferred,deferred
all_pages_20260721_1901_geocoded.csv,359,Profession,known_ad_deferred,deferred
all_pages_20260721_1901_geocoded.csv,359,Profession,known_ad_deferred,deferred
all_pages_20260721_1901_geocoded.csv,359,Profession,known_ad_deferred,deferred
all_pages_20260721_1901_geocoded.csv,359,Profession,known_ad_deferred,deferred
all_pages_20260721_1901_geocoded.csv,359,Profession,known_ad_deferred,deferred
all_pages_20260721_1901_geocoded.csv,359,Profession,known_ad_deferred,deferred
all_pages_20260721_1901_geocoded.csv,359,Profession,known_ad_deferred,deferred
all_pages_20260721_1901_geocoded.csv,359,Profession,known_ad_deferred,deferred
all_pages_20260721_1901_geocoded.csv,359,Profession,known_ad_deferred,deferred
all_pages_20260721_1901_geocoded.csv,359,Profession,known_ad_deferred,deferred
all_pages_20260721_1901_geocoded.csv,359,Profession,known_ad_deferred,deferred
all_pages_20260721_1901_geocoded.csv,359,Profession,known_ad_deferred,deferred
all_pages_20260721_1901_geocoded.csv,359,Profession,known_ad_deferred,deferred
all_pages_20260721_1901_geocoded.csv,359,Profession,known_ad_deferred,deferred
all_pages_20260721_1901_geocoded.csv,359,Profession,known_ad_deferred,deferred
all_pages_20260721_1901_geocoded.csv,359,Profession,known_ad_deferred,deferred
all_pages_20260721_1901_geocoded.csv,359,Profession,known_ad_deferred,deferred
all_pages_20260721_1901_geocoded.csv,359,Profession,known_ad_deferred,deferred
all_pages_20260721_1901_geocoded.csv,359,Profession,known_ad_deferred,deferred
all_pages_20260721_1901_geocoded.csv,359,Profession,known_ad_deferred,deferred
all_pages_20260721_1901_geocoded.csv,359,Profession,known_ad_deferred,deferred
all_pages_20260721_1901_geocoded.csv,359,Profession,known_ad_deferred,deferred
all_pages_20260721_1901_geocoded.csv,359,Profession,known_ad_deferred,deferred
all_pages_20260721_1901_geocoded.csv,359,Profession,known_ad_deferred,deferred
all_pages_20260721_1901_geocoded.csv,359,Profession,known_ad_deferred,deferred
all_pages_20260721_1901_geocoded.csv,359,Profession,known_ad_deferred,deferred
all_pages_20260721_1901_geocoded.csv,359,Profession,known_ad_deferred,deferred
all_pages_20260721_1901_geocoded.csv,359,Profession,known_ad_deferred,deferred
