n_rows,count
"Textiles, clothing, footwear, haberdashery & perfumery",1623
"Hospitality, dining & retail shops",1435
"Construction, carpentry, chemicals, fuel & raw materials",1082
Food & beverages,1070
"Wholesale, agricultural & general commerce trades",865
"Transport, shipping & maritime trades",793
Institutions & companies,631
"Decorative arts, antiques & artisan crafts",608
"Legal, financial & administrative professions",573
"Office equipment, stationery, printing, publishing & photography",552
"Electrical, mechanical, industrial & automotive trades",502
Religious institutions & clergy,51
